SK_ID_CURR,TARGET
100001,1
100005,1
100013,0
100028,0
100038,1
100042,1
100057,1
100065,1
100066,1
100067,0
100074,1
100090,1
100091,0
100092,1
100106,1
100107,0
100109,1
100117,1
100128,1
100141,0
100150,1
100168,1
100169,1
100170,0
100171,0
100172,1
100184,0
100187,1
100212,0
100222,0
100223,0
100232,1
100241,0
100245,1
100253,0
100256,0
100271,0
100278,0
100280,1
100306,1
100311,0
100312,0
100330,0
100331,1
100352,0
100358,0
100367,0
100382,0
100384,1
100385,1
100386,0
100399,0
100404,0
100416,1
100422,0
100426,1
100438,0
100444,0
100445,1
100446,1
100447,1
100450,0
100466,0
100483,1
100484,1
100494,0
100510,1
100512,0
100517,0
100548,0
100551,1
100552,0
100553,0
100561,0
100568,1
100569,1
100591,1
100592,0
100602,0
100607,1
100613,1
100617,0
100618,1
100622,0
100625,0
100677,1
100699,1
100702,1
100711,0
100729,0
100740,0
100744,1
100745,1
100747,0
100751,0
100752,1
100753,0
100754,0
100760,1
100762,1
100763,1
100765,1
100770,1
100772,1
100777,1
100791,1
100792,0
100797,0
100823,0
100826,0
100830,0
100836,1
100872,1
100910,1
100913,1
100918,0
100931,1
100952,1
100953,0
100965,0
100970,0
100982,1
100983,1
100984,1
100987,0
100997,1
100998,1
101002,0
101005,1
101008,1
101020,1
101021,0
101024,1
101025,0
101026,0
101031,1
101041,1
101051,0
101055,0
101056,1
101057,0
101064,0
101079,0
101087,1
101090,1
101092,0
101097,0
101099,0
101107,1
101118,0
101125,1
101126,0
101128,1
101136,1
101140,0
101149,1
101160,1
101169,0
101181,0
101186,0
101190,0
101193,1
101194,0
101198,0
101200,0
101204,1
101211,0
101213,0
101223,1
101225,0
101237,0
101243,0
101244,1
101258,1
101259,0
101268,0
101269,1
101271,1
101279,0
101281,1
101287,0
101292,1
101294,0
101296,1
101297,0
101299,1
101301,1
101305,0
101308,1
101318,0
101327,1
101329,0
101332,1
101337,0
101343,1
101345,0
101346,0
101353,1
101354,0
101355,1
101356,0
101362,0
101363,1
101365,1
101366,0
101367,0
101368,0
101374,1
101380,1
101383,0
101398,0
101399,1
101401,1
101412,1
101426,0
101427,1
101428,0
101429,0
101434,0
101440,0
101448,0
101449,0
101465,0
101467,0
101472,1
101478,1
101497,1
101504,1
101547,0
101548,1
101555,0
101570,0
101572,0
101578,1
101580,1
101588,1
101602,1
101610,1
101614,0
101616,1
101643,1
101644,0
101649,0
101650,0
101665,1
101667,1
101669,0
101674,1
101675,1
101678,0
101682,1
101686,0
101697,1
101700,1
101711,0
101714,0
101715,1
101728,1
101732,1
101757,1
101758,0
101759,0
101762,0
101764,1
101780,1
101784,0
101789,0
101816,0
101819,0
101827,0
101863,1
101867,1
101870,1
101873,0
101878,0
101879,0
101880,0
101887,1
101897,1
101901,0
101903,0
101920,0
101921,1
101922,0
101961,1
101962,1
101971,1
101976,0
102002,1
102005,0
102007,0
102017,1
102019,1
102029,1
102051,1
102052,0
102054,1
102062,1
102067,1
102068,0
102070,1
102090,1
102092,0
102099,0
102100,1
102112,1
102113,1
102122,0
102123,1
102125,0
102126,1
102146,0
102147,1
102151,0
102158,0
102159,0
102162,1
102165,1
102166,1
102174,0
102193,1
102198,1
102205,0
102206,1
102218,1
102221,1
102230,0
102238,1
102248,0
102252,1
102259,0
102262,1
102273,0
102286,1
102293,1
102294,1
102296,0
102298,1
102303,0
102309,1
102315,1
102340,0
102342,0
102344,0
102346,0
102347,0
102374,1
102380,1
102387,1
102393,0
102403,1
102413,0
102414,1
102415,0
102416,1
102439,1
102441,0
102443,1
102444,1
102445,0
102448,1
102449,1
102450,0
102456,1
102458,1
102459,1
102465,1
102470,1
102471,0
102475,1
102476,0
102506,1
102509,1
102519,0
102522,1
102545,1
102549,0
102562,1
102563,1
102568,1
102582,1
102592,1
102597,0
102605,0
102614,1
102617,0
102634,1
102652,0
102655,0
102671,0
102694,1
102701,0
102703,1
102704,1
102713,1
102720,1
102731,0
102733,0
102749,1
102755,0
102763,1
102770,1
102772,1
102799,1
102838,1
102854,1
102862,0
102863,1
102867,0
102868,0
102878,0
102887,1
102898,0
102904,0
102912,0
102919,1
102927,0
102932,0
102933,0
102935,1
102958,1
102969,1
102971,0
102975,0
102979,0
102982,0
102987,0
102989,0
102995,1
102996,1
103000,1
103001,0
103004,1
103010,1
103025,0
103029,1
103046,1
103056,1
103062,0
103078,1
103083,0
103092,0
103096,1
